KOI,logAiso,E_logAiso,e_logAiso,a3,loc3,scale3,a5,loc5,scale5
K00001,9.74,0.13,0.15,-1.723381270878079,9.866321787212597,0.19682378550187507,-0.8441072231772324,9.817946184591252,0.16559411720258121
K00002,9.25,0.04,0.05,-2.3214266032269677,9.29484865597429,0.06750712058899988,-1.0595364155645939,9.278683139609749,0.05575566711377744
K00006,9.32,0.09,0.24,-23.351389263505283,9.482106702543991,0.27890980498723306,-3.7310755947657555,9.472594299336569,0.2706249624190227
K00007,9.78,0.09,0.08,1.5442691437264529,9.706938168997253,0.1162690458133464,0.03071858861139276,9.789814361978,0.08728538738034908
K00008,9.18,0.26,0.52,-24.799016872803264,9.590469759677394,0.6537097676257515,-2.4456756124906462,9.518278517703552,0.5883007929812439
K00010,9.67,0.08,0.07,1.6557397855876559,9.603464687059445,0.10440863594400418,0.8169417218782229,9.629123719015018,0.08817442308083334
K00017,9.81,0.09,0.09,-0.013932496258888705,9.81100602435411,0.09050716172258422,0.08500056149152613,9.803722108605651,0.09263498768338962
K00018,9.46,0.04,0.04,1.1312857850498403e-07,9.459999996369337,0.040222920120954964,-0.12148034220687975,9.46399434140976,0.04126786594585907
K00020,9.83,0.05,0.11,-25.033774673363325,9.912273329036863,0.13448436003073128,-2.816470637424999,9.901273954842985,0.12437319200343855
K00022,9.67,0.09,0.1,0.006063462229974448,9.66620458976126,0.09553050466522428,-0.7335857357034286,9.71811834784026,0.10960991025041422
K00041,9.84,0.05,0.12,-23.71176074374644,9.925610163683604,0.14325530075004067,-3.1988004786690993,9.917204585553332,0.13554099863841051
K00046,9.72,0.14,0.06,23.659802910038067,9.618602538753413,0.16839798303760245,3.0699213213553946,9.629693249822468,0.1581903885608097
K00049,10.02,0.05,0.05,1.0891207580243645e-07,10.019999995630823,0.05027865015119459,0.11833558811258627,10.0151371155164,0.051572842782921846
K00063,8.86,0.3,0.15,36.31620225229781,8.623190528166885,0.37714024380080335,2.445673935650717,8.664839444053257,0.33940426224284725
K00064,9.66,0.02,0.02,1.7092112614136568e-07,9.659999997257295,0.02011146006047737,-0.036322957803463396,9.660595413813652,0.020547236348243625
K00069,9.96,0.1,0.14,-3.557390536490715,10.088984220477444,0.19143809523855881,-1.3555389432841167,10.046294953028045,0.15737171932051897
K00070,9.49,0.22,0.28,-2.4731766918941673,9.743060623106658,0.37938941358941836,-1.1065644823352727,9.653095276698316,0.3127461913110424
K00072,10.11,0.03,0.05,-22.725698759902286,10.154025057747505,0.06665710635517097,-1.8431806354170135,10.142241600793337,0.056509291106056514
K00075,9.53,0.01,0.01,0.03084388401374838,9.529752576316495,0.010058773704985313,0.0019473666761768982,9.529984043749883,0.010269322563474126
K00082,9.03,0.64,0.36,29.332127830751773,8.488351954884859,0.8349690486949928,2.04291002199642,8.614739495509749,0.7238689316920317
K00084,9.67,0.21,0.27,-2.563280064026131,9.914892151126718,0.3664560982777517,-1.1329912181356008,9.828504480858111,0.3018344775908074
K00085,9.47,0.06,0.05,2.0056875264726557,9.417497089405659,0.08008599773484737,0.9515908718201445,9.43702079496013,0.06660825841471019
K00092,9.37,0.26,0.25,0.0003160848241208214,9.373268804403118,0.2564211173150843,0.49318267623124257,9.27503153190309,0.27893202144475826
K00094,9.54,0.07,0.08,-1.6557397855876417,9.606535312940554,0.10440863594400485,-0.8169382743631246,9.580876060358433,0.08817435659702999
K00097,9.47,0.08,0.04,-0.0014397100894285586,9.483402542563626,0.06033438091834997,2.445684964172969,9.417956961471155,0.09050787655790093
K00102,9.54,0.18,0.28,-35.52272169929094,9.7974766817964,0.382400759965961,-1.6425966415957163,9.718424816851861,0.3159921939192414
K00103,9.43,0.28,0.28,0.0,9.43,0.2815604408466853,-6.704737232610114e-05,9.430013624052501,0.28753981238492365
K00104,9.48,0.35,0.62,-46.5757226306862,10.005860750863041,0.8098263708633633,-2.03153722833585,9.882196542787963,0.7012308539290253
K00105,10.13,0.01,0.02,-21.1812393375302,10.14578729642114,0.025142681733037797,-2.44568200619662,10.143010746065228,0.022626964517926007
K00107,9.61,0.1,0.05,22.628995977416437,9.531063510524138,0.12571341429780913,2.445684101297374,9.544946224347179,0.11313483823090109
K00108,9.77,0.08,0.08,-0.012432482970595515,9.770797973199029,0.08044979789662243,0.12394835526032466,9.761847506121391,0.08255121296054413
K00110,9.69,0.07,0.09,-2.5632800640288735,9.771630717042264,0.12215203275927122,-1.132991164584908,9.742834827143838,0.10061149279752757
