kepid,rrmscdpp03p0
10000785,445.41
10000797,80.767
10000800,226.34799999999998
10000823,181.468
10000827,124.834
10000876,104.839
10000939,312.067
10000941,86.82600000000001
10000962,109.243
10000976,133.739
10000981,222.827
10001000,194.697
10001002,84.45299999999999
10001013,84.06200000000001
10001045,70.036
10001085,268.04400000000004
10001087,555.227
10001116,107.18799999999999
10001129,254.322
10001142,277.656
10001145,341.288
10001154,29.695
10001167,63.975
10001171,297.806
10000009,46.027
10000069,194.731
10000083,169.71599999999998
10000090,200.03
100000925,
100000926,
100000927,
100000928,
100000929,
100000930,
100000931,
100000932,
100000933,
100000934,
100000935,
100000936,
100000937,
100000938,
100000939,
100000940,
100000941,
100000942,
100000943,
100000944,
100000945,
100000946,
100000947,
100000948,
100000949,
100000950,
100000951,
100000952,
100000953,
100000954,
100000955,
100000956,
100000957,
100000958,
100000959,
100000960,
100000961,
100000962,
100000963,
100000964,
10000108,230.271
100001133,
100001134,
10000135,72.005
100001473,
100001474,
10000151,144.195
10000157,229.482
10000162,254.27599999999998
100001643,
100001644,
100001645,
10000191,650.903
10000198,199.585
10000207,195.21599999999998
10000228,218.707
10000240,136.3
10000255,62.791000000000004
10000270,207.301
10000279,312.955
10000285,176.58
10000291,50.238
10000300,118.084
10000330,130.38
10000344,209.544
10000441,52.474
10000490,296.031
10000500,154.471
10000509,1401.239
10000547,152.295
10000551,186.93599999999998
10000612,227.111
10000620,54.669
10000650,52499.265999999996
10000661,116.5
10000672,149.914
10000709,151.454
10000724,83.46
10000766,203.637
10121766,80.184
10121794,68.097
10121816,107.721
10121833,62.099
10121853,124.609
10121888,89.92200000000001
10121904,123.962
10121916,90.46600000000001
10122003,121.99600000000001
10122012,103.016
10122038,307.052
10122051,269.645
10122122,124.43299999999999
10129530,50.919
10129532,45.326
10129538,149.204
10129593,249.86900000000003
10129675,115.925
10129755,58.736000000000004
10129779,109.01899999999999
10129793,194.74200000000002
10129799,425.85900000000004
10129802,135.05
10129829,65.36
10129856,118.291
10004783,95.829
10004794,269.219
10004796,168.261
10004804,278.444
10004825,206.136
10004846,68.582
10004864,62.223
10004898,151.144
10004907,116.501
10004922,167.81400000000002
10004928,132.998
10004945,63.118
10004962,183.09900000000002
10010958,296.258
10010970,329.61300000000006
10010975,210.285
10010983,189.49599999999998
10010990,289.215
10010992,455.455
10010994,87.351
10011023,137.714
10011038,227.41099999999997
10011070,187.956
10011078,163.38
10011090,202.143
10011091,573.533
10018382,158.145
10018391,125.096
10018400,147.528
10018442,154.45
10018454,72.158
10018465,232.768
10018467,271.10200000000003
10018573,204.857
10018602,112.52600000000001
10018619,132.607
10018676,183.512
10018694,71.78399999999999
10018699,195.78400000000002
10024297,235.05900000000003
10024304,194.28
10024325,167.06799999999998
10024350,90.426
10024363,138.388
10024402,42.148999999999994
10024405,74.673
10024420,178.673
10024454,339.577
10024460,189.238
10024461,270.788
10024484,173.148
10028140,216.105
10028156,39.295
10028164,246.104
10028221,228.07299999999998
10028266,336.60400000000004
10028273,130.89700000000002
10028283,253.791
10028292,145.328
10028341,150.2
10028352,47.817
10028399,264.337
10028407,222.768
10033272,458.01300000000003
10033279,72.018
10033366,130.972
10033388,45.053999999999995
10033400,246.614
10033438,199.577
10033462,406.19599999999997
10033471,354.73699999999997
10033472,146.091
10033485,336.97900000000004
10033547,106.399
10033622,179.797
10033625,47.729
10057222,187.886
10057233,77.898
10057278,162.099
10057304,282.64599999999996
10057341,73.012
10057344,168.18099999999998
10057350,269.405
10057359,182.418
10057410,156.909
10057413,243.303
10057428,110.238
10057435,105.921
10057445,356.72
10064560,218.101
10064574,221.574
10064591,84.229
10064613,204.454
10064620,112.78
10064622,108.05
10064700,44.383
10064704,146.795
10064712,29.537
10064727,89.949
10064754,130.287
10064768,97.80799999999999
10068656,161.628
10068659,146.783
10068672,142.975
10068680,44.799
10068705,46.886
10068740,82.991
10068745,97.602
10068787,240.157
10068795,52.016000000000005
10068797,319.722
10068801,64.676
10068803,113.155
10068810,135.489
10074841,146.995
10074851,229.77200000000002
10074890,218.517
10074909,165.488
10074927,224.984
10074938,106.82600000000001
10074939,
10074987,347.789
10075009,203.856
10075024,320.387
10075065,81.053
10075070,116.09899999999999
10075153,285.644
10082344,249.889
10082360,119.21600000000001
10082384,93.389
10082441,270.123
10082443,107.79
10082449,226.398
10082517,264.264
10082519,194.21099999999998
10082529,144.704
10082542,195.75400000000002
10082545,140.236
10082549,114.792
10088176,229.593
10088190,132.235
10088225,292.17400000000004
10088242,87.72
10088253,84.40700000000001
10088276,209.94299999999998
10088297,252.532
10088372,75.40100000000001
10088383,214.386
10088442,85.271
10088444,132.91
10088452,260.957
10091729,144.73
10091781,147.736
10091784,197.248
10091786,419.185
10091792,162.862
10091797,186.555
10091809,104.90899999999999
10091818,128.747
10091819,238.676
10091829,12.064
10091837,286.983
10091848,177.613
10097120,163.336
10097149,60.415
10097171,106.837
10097234,79.833
10097236,295.987
10097310,69.168
10097375,104.336
10097384,337.288
10097397,52.297
10097463,206.905
10097467,409.69
10097541,206.84599999999998
10122150,122.90899999999999
10122158,124.37700000000001
10122159,244.074
10122162,70.355
10122169,87.741
10122173,205.97
10122175,206.03900000000002
10122235,210.61700000000002
10122239,74.185
10122250,176.72099999999998
10122255,127.815
10122336,118.238
10122387,340.291
10129857,86.34
10129859,105.59100000000001
10129976,97.274
10130001,265.336
10130039,54.371
